Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,16.15,16.15,16.15,16.15,16.15,113192
2020-05-05,16.950001,16.950001,16.950001,16.950001,16.950001,49710
2020-05-06,17.25,17.25,17.25,17.25,17.25,124529
2020-05-07,17.549999,17.549999,17.35,17.549999,17.549999,305500
2020-05-08,17.9,17.9,17.9,17.9,17.9,42618
2020-05-11,18.25,18.25,18.25,18.25,18.25,24049
2020-05-12,18.6,18.6,18.6,18.6,18.6,21334
2020-05-13,18.950001,18.950001,18.950001,18.950001,18.950001,15329
2020-05-14,19.299999,19.299999,19.299999,19.299999,19.299999,20906
2020-05-15,19.65,19.65,19.65,19.65,19.65,49651
2020-05-18,20,20,20,20,20,22868
2020-05-19,20.4,20.4,20.4,20.4,20.4,91636
2020-05-20,20.799999,20.799999,20,20,20,467704
2020-05-21,19.6,19.6,19.6,19.6,19.6,41304
2020-05-22,19.25,19.25,19.25,19.25,19.25,13869
2020-05-26,18.9,18.9,18.9,18.9,18.9,7828
2020-05-27,18.549999,18.549999,18.549999,18.549999,18.549999,5624
2020-05-28,18.200001,18.200001,18.200001,18.200001,18.200001,4394
2020-05-29,17.85,17.85,17.85,17.85,17.85,12135
2020-06-01,17.5,17.5,17.5,17.5,17.5,28831
2020-06-02,17.15,17.15,17.15,17.15,17.15,5816
2020-06-03,16.85,16.85,16.85,16.85,16.85,15922
2020-06-04,16.549999,16.549999,16.549999,16.549999,16.549999,8978
2020-06-05,15.75,17.35,15.75,16.5,16.5,921780
2020-06-08,15.7,15.7,15.7,15.7,15.7,83627
2020-06-09,14.95,14.95,14.95,14.95,14.95,21055
2020-06-10,14.25,14.25,14.25,14.25,14.25,13913
2020-06-11,13.55,13.55,13.55,13.55,13.55,39159
2020-06-12,12.9,12.9,12.9,12.9,12.9,23825
2020-06-15,12.3,13.5,12.3,13.5,13.5,481604
2020-06-16,14.15,14.15,12.9,14.15,14.15,329404
2020-06-17,14.15,14.15,13.5,13.95,13.95,103983
2020-06-18,14,14,13.3,13.4,13.4,106418
2020-06-19,13.4,14.05,12.85,13.15,13.15,67889
2020-06-22,12.5,13.6,12.5,13.1,13.1,87918
2020-06-23,13.75,13.75,13.1,13.75,13.75,132216
2020-06-24,14.4,14.4,13.65,14.4,14.4,79792
2020-06-25,14.85,14.85,13.7,14.35,14.35,66904
2020-06-26,14.4,14.85,13.65,14.2,14.2,43909
2020-06-29,14.25,14.45,13.5,13.6,13.6,40190
2020-06-30,14.25,14.25,14.25,14.25,14.25,23981
2020-07-01,14.96,14.96,14.96,14.96,14.96,8769
2020-07-02,15.7,15.7,15.7,15.7,15.7,7628
2020-07-03,16.48,16.48,16.48,16.48,16.48,38756
2020-07-06,17.299999,17.299999,17.299999,17.299999,17.299999,32529
2020-07-07,18.16,18.16,18.16,18.16,18.16,31414
2020-07-08,19.059999,19.059999,19.059999,19.059999,19.059999,51763
2020-07-09,20.01,20.01,20.01,20.01,20.01,57586
2020-07-10,21.01,21.01,21.01,21.01,21.01,47213
2020-07-13,22.059999,22.059999,22.059999,22.059999,22.059999,56343
2020-07-14,23.16,23.16,23.16,23.16,23.16,50375
2020-07-15,24.309999,24.309999,24.309999,24.309999,24.309999,41039
2020-07-16,25.52,25.52,25.52,25.52,25.52,190311
2020-07-17,26.790001,26.790001,26.790001,26.790001,26.790001,265066
2020-07-20,27.32,27.32,27.32,27.32,27.32,110296
2020-07-21,27.860001,27.860001,27.860001,27.860001,27.860001,57293
2020-07-22,28.41,28.41,28.41,28.41,28.41,24271
2020-07-23,28.969999,28.969999,28.969999,28.969999,28.969999,38598
2020-07-24,29.540001,29.540001,29.540001,29.540001,29.540001,68103
2020-07-27,30.129999,30.129999,28.950001,30.129999,30.129999,1797129
2020-07-28,30.73,30.73,30.73,30.73,30.73,51405
2020-07-29,31.34,31.34,31.34,31.34,31.34,46672
2020-07-30,31.959999,31.959999,31.959999,31.959999,31.959999,90360
2020-07-31,32.59,32.59,32.59,32.59,32.59,180698
2020-08-03,31.950001,33.200001,31.950001,33.200001,33.200001,798174
2020-08-04,33.849998,33.849998,33.849998,33.849998,33.849998,28958
2020-08-05,34.5,34.5,34.5,34.5,34.5,38666
2020-08-06,35.150002,35.150002,35.150002,35.150002,35.150002,39238
2020-08-07,35.849998,35.849998,35.849998,35.849998,35.849998,43206
2020-08-10,36.549999,36.549999,36.549999,36.549999,36.549999,55181
2020-08-11,37.25,37.25,37.25,37.25,37.25,35235
2020-08-12,37.950001,37.950001,37.950001,37.950001,37.950001,59753
2020-08-13,38.700001,38.700001,38.700001,38.700001,38.700001,69099
2020-08-14,39.450001,39.450001,39.450001,39.450001,39.450001,111920
2020-08-17,40.200001,40.200001,40.200001,40.200001,40.200001,76590
2020-08-18,41,41,41,41,41,77522
2020-08-19,41.799999,41.799999,41.799999,41.799999,41.799999,33715
2020-08-20,42.599998,42.599998,42.599998,42.599998,42.599998,27253
2020-08-21,43.450001,43.450001,43.450001,43.450001,43.450001,39542
2020-08-24,44.299999,44.299999,44.299999,44.299999,44.299999,86651
2020-08-25,45.150002,45.150002,43.450001,43.450001,43.450001,1474390
2020-08-26,42.599998,42.599998,42.599998,42.599998,42.599998,265726
2020-08-27,41.75,41.75,41.75,41.75,41.75,40617
2020-08-28,40.950001,40.950001,40.950001,40.950001,40.950001,48087
2020-08-31,40.150002,40.150002,40.150002,40.150002,40.150002,33304
